,run,time,size,pattern,sparsity,algorithm,gflops,rel_error
0,29,465.802582,5376,blockrandom,0.7,Dense on GPU Coalescence,667.1229545739186,inf
1,29,248.047943,5376,blockrandom,0.7,Dense WMMA,1252.77231084315,0.101347
2,29,196.904953,5376,blockrandom,0.7,SpMM 1 Co,1578.1603764533033,0.0
3,29,17.949921,5376,blockrandom,0.7,SpMM with Tensors,17311.919910511027,0.101347
4,29,47.047585,5376,blockrandom,0.7,cuBLAS GeMM,6604.963777673179,0.101347
5,29,17.040384,5376,blockrandom,0.7,cuBLAS GeMM with Tensors,18235.9502433748,0.101347
6,29,93.712387,5376,blockrandom,0.7,cuSPARSE CSR,3315.971396097295,0.002579
7,7,5.28384,1280,blockrandom,0.8,Dense on GPU Coalescence,793.7984496124031,inf
8,7,0.68096,1280,blockrandom,0.8,Dense WMMA,6159.398496240601,0.003244
9,7,1.50128,1280,blockrandom,0.8,SpMM 1 Co,2793.81860812107,0.0
10,7,0.147456,1280,blockrandom,0.8,SpMM with Tensors,28444.444444444445,0.003244
11,7,34.156448,1280,blockrandom,0.8,cuBLAS GeMM,122.79684351253385,0.001526
12,7,6.57888,1280,blockrandom,0.8,cuBLAS GeMM with Tensors,637.5407364171409,0.001526
13,7,6.016,1280,blockrandom,0.8,cuSPARSE CSR,697.1914893617021,0.000242
14,8,431.802368,5376,blockrandom,0.4,Dense on GPU Coalescence,719.6523636294648,inf
15,8,249.155334,5376,blockrandom,0.4,Dense WMMA,1247.20426315256,0.207462
16,8,373.64621,5376,blockrandom,0.4,SpMM 1 Co,831.6626435258102,0.0
17,8,36.421024,5376,blockrandom,0.4,SpMM with Tensors,8532.093846455278,0.207462
18,8,43.919361,5376,blockrandom,0.4,cuBLAS GeMM,7075.412475878235,0.207462
19,8,16.743423,5376,blockrandom,0.4,cuBLAS GeMM with Tensors,18559.382675334666,0.207462
20,8,191.962112,5376,blockrandom,0.4,cuSPARSE CSR,1618.796498509039,0.003662
21,11,165.540863,4096,blockrandom,0.9,Dense on GPU Coalescence,830.2418567915765,inf
22,11,19.546112,4096,blockrandom,0.9,Dense WMMA,7031.523889354568,0.017672
23,11,27.183231,4096,blockrandom,0.9,SpMM 1 Co,5056.019774544093,0.0
24,11,1.936384,4096,blockrandom,0.9,SpMM with Tensors,70977.11686938128,0.017672
25,11,36.775936,4096,blockrandom,0.9,cuBLAS GeMM,3737.1979729353457,0.017672
26,11,10.832064,4096,blockrandom,0.9,cuBLAS GeMM with Tensors,12688.159290048508,0.017672
27,11,17.375135,4096,blockrandom,0.9,cuSPARSE CSR,7910.094135786571,0.000974
28,4,165.377853,4096,blockrandom,0.6,Dense on GPU Coalescence,831.0602113815082,inf
29,4,19.527807,4096,blockrandom,0.6,Dense WMMA,7038.115107958615,0.078231
30,4,104.388802,4096,blockrandom,0.6,SpMM 1 Co,1316.6062914679296,0.0
31,4,6.733824,4096,blockrandom,0.6,SpMM with Tensors,20410.238442822385,0.078231
32,4,37.218304,4096,blockrandom,0.6,cuBLAS GeMM,3692.778517581027,0.078231
33,4,49.687553,4096,blockrandom,0.6,cuBLAS GeMM with Tensors,2766.0640376474166,0.078231
34,4,56.725506,4096,blockrandom,0.6,cuSPARSE CSR,2422.8775230669603,0.00197
35,15,1618.523193,8192,blockrandom,0.4,Dense on GPU Coalescence,679.3301650117287,inf
36,15,850.432007,8192,blockrandom,0.4,Dense WMMA,1292.8859905622062,0.490416
37,15,1251.157959,8192,blockrandom,0.4,SpMM 1 Co,878.7952151579607,0.0
38,15,155.237671,8192,blockrandom,0.4,SpMM with Tensors,7082.76297043905,0.490416
39,15,88.933502,8192,blockrandom,0.4,cuBLAS GeMM,12363.300702765533,0.088033
40,15,42.684673,8192,blockrandom,0.4,cuBLAS GeMM with Tensors,25758.932902590117,0.088033
41,15,677.96283,8192,blockrandom,0.4,cuSPARSE CSR,1621.7874773105186,0.007145
42,23,166.272415,4096,blockrandom,0.4,Dense on GPU Coalescence,826.5890254375628,inf
43,23,19.547071,4096,blockrandom,0.4,Dense WMMA,7031.178915347471,0.120906
44,23,166.491943,4096,blockrandom,0.4,SpMM 1 Co,825.4991262369975,0.0
45,23,13.070336,4096,blockrandom,0.4,SpMM with Tensors,10515.33437793795,0.120906
46,23,37.477375,4096,blockrandom,0.4,cuBLAS GeMM,3667.251334224982,0.120906
47,23,11.188288,4096,blockrandom,0.4,cuBLAS GeMM with Tensors,12284.180874857708,0.120906
48,23,85.128189,4096,blockrandom,0.4,cuSPARSE CSR,1614.4940364231172,0.002519
49,26,431.821838,5376,blockrandom,0.6,Dense on GPU Coalescence,719.619915915415,inf
50,26,245.393982,5376,blockrandom,0.6,Dense WMMA,1266.3211714458425,0.130578
51,26,256.311523,5376,blockrandom,0.6,SpMM 1 Co,1212.3824598865185,0.0
52,26,26.077185,5376,blockrandom,0.6,SpMM with Tensors,11916.454738193559,0.130578
53,26,43.635712,5376,blockrandom,0.6,cuBLAS GeMM,7121.405392720531,0.130578
54,26,16.309248,5376,blockrandom,0.6,cuBLAS GeMM with Tensors,19053.459408551516,0.130578
55,26,124.404739,5376,blockrandom,0.6,cuSPARSE CSR,2497.8758626871922,0.00285
56,17,166.441986,4096,blockrandom,0.7,Dense on GPU Coalescence,825.7468970119114,inf
57,17,19.527937,4096,blockrandom,0.7,Dense WMMA,7038.06825431688,0.058555
58,17,78.43837,4096,blockrandom,0.7,SpMM 1 Co,1752.1903307271684,0.0
59,17,4.955136,4096,blockrandom,0.7,SpMM with Tensors,27736.666253358133,0.058555
60,17,38.853825,4096,blockrandom,0.7,cuBLAS GeMM,3537.333929722492,0.058555
61,17,10.83392,4096,blockrandom,0.7,cuBLAS GeMM with Tensors,12685.985633270322,0.058555
62,17,43.292671,4096,blockrandom,0.7,cuSPARSE CSR,3174.6471238053205,0.001753
63,10,5.314656,1280,blockrandom,0.5,Dense on GPU Coalescence,789.1957635640011,inf
64,10,0.684928,1280,blockrandom,0.5,Dense WMMA,6123.71519342179,0.00921
65,10,3.538944,1280,blockrandom,0.5,SpMM 1 Co,1185.1851851851852,0.0
